Job,Area Name,Employment(1),Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2),"Employment per 1,000 jobs"
Database Architect,Alabama(0100000),         310,        30.9,       55.00,      114400,         5.2,       34.60,       40.68,       54.81,       61.94,       81.59,       71960,       84620,      114000,      128840,      169700,       0.149
Database Architect,Alaska(0200000),          50,        15.9,       60.41,      125650,         4.5,       37.21,       42.41,       57.42,       74.68,       89.77,       77400,       88220,      119440,      155320,      186730,       0.168
Database Architect,Arizona(0400000),        1040,        10.1,       58.21,      121080,         4.6,       29.28,       42.99,       58.95,       75.23,       82.95,       60890,       89420,      122620,      156470,      172540,       0.334
Database Architect,Arkansas(0500000),         290,         8.5,       46.24,       96180,         2.2,       28.15,       38.59,       47.25,       52.27,       63.39,       58560,       80280,       98280,      108710,      131840,       0.225
Database Architect,California(0600000),        6120,         4.5,       78.20,      162660,         1.0,       45.06,       62.58,       78.01,       93.73,      109.71,       93720,      130170,      162250,      194960,      228200,       0.341
Database Architect,Colorado(0800000),        2180,         9.3,       68.22,      141890,         1.9,       40.25,       52.38,       64.80,       82.29,       97.65,       83720,      108940,      134780,      171160,      203110,       0.769
Database Architect,Connecticut(0900000),         650,         7.5,       67.60,      140610,         2.4,       47.18,       53.64,       69.01,       75.27,       88.65,       98130,      111570,      143540,      156560,      184390,       0.392
Database Architect,Delaware(1000000),          70,        13.4,       73.83,      153570,         5.3,       58.41,       66.32,       71.31,       75.25,       96.66,      121490,      137950,      148320,      156530,      201050,       0.159
Database Architect,District of Columbia(1100000),         560,        12.4,       78.35,      162980,         4.3,       48.76,       63.14,       79.19,       90.82,      106.36,      101410,      131340,      164720,      188910,      221230,       0.803
Database Architect,Florida(1200000),        1860,         7.6,       59.04,      122790,         5.2,       32.25,       43.03,       59.60,       72.18,       85.45,       67080,       89490,      123960,      150130,      177730,       0.195
Database Architect,Georgia(1300000),        2790,         4.5,       70.79,      147250,         1.0,       43.77,       60.87,       74.62,       84.07,       85.19,       91040,      126600,      155210,      174870,      177190,       0.587
Database Architect,Hawaii(1500000),          50,        17.1,       66.20,      137690,         1.1,       44.08,       55.81,       63.96,       82.97,       87.97,       91680,      116080,      133040,      172580,      182970,       0.079
Database Architect,Idaho(1600000),         290,        27.6,       64.00,      133130,         7.2,       35.48,       44.10,       64.23,       81.54,       96.15,       73790,       91730,      133590,      169600,      199990,       0.347
Database Architect,Illinois(1700000),        1500,        11.4,       59.73,      124240,         5.9,       27.05,       47.56,       62.02,       75.14,       84.49,       56270,       98920,      128990,      156280,      175730,       0.249
Database Architect,Indiana(1800000),         700,        10.1,       44.80,       93180,         5.6,       28.13,       28.13,       40.40,       57.38,       72.11,       58510,       58510,       84020,      119360,      149990,       0.221
Database Architect,Iowa(1900000),         400,         4.2,       62.82,      130660,         1.1,       41.51,       52.61,       63.62,       73.56,       81.44,       86330,      109420,      132330,      153010,      169390,       0.261
Database Architect,Kansas(2000000),         440,        24.5,       77.80,      161820,        14.4,       41.67,       51.42,       74.08,      107.48,      107.48,       86670,      106950,      154090,      223550,      223550,       0.310
Database Architect,Kentucky(2100000),         690,         9.6,       47.72,       99270,         3.7,       25.72,       31.15,       42.76,       61.42,       75.98,       53490,       64790,       88930,      127750,      158030,       0.350
Database Architect,Louisiana(2200000),         110,        17.1,       49.94,      103870,         3.7,       33.32,       38.83,       49.81,       58.50,       62.59,       69310,       80770,      103600,      121670,      130190,       0.058
Database Architect,Maine(2300000),         100,        24.0,       57.21,      118990,         9.1,       36.74,       43.17,       58.07,       69.86,       83.08,       76410,       89790,      120790,      145320,      172800,       0.159
Database Architect,Maryland(2400000),         710,         9.8,       72.40,      150590,         4.6,       41.09,       52.98,       67.07,       85.78,           -,       85470,      110200,      139510,      178420,           -,       0.266
Database Architect,Massachusetts(2500000),        1650,        12.8,       73.48,      152850,         2.3,       45.87,       61.17,       73.09,       86.34,      100.00,       95400,      127230,      152030,      179580,      208000,       0.452
Database Architect,Michigan(2600000),        1290,        15.3,       55.00,      114390,         5.9,       24.32,       41.81,       58.99,       65.05,       79.51,       50590,       86970,      122700,      135310,      165390,       0.296
Database Architect,Minnesota(2700000),         790,         7.7,       61.72,      128380,         3.0,       41.63,       50.86,       62.67,       74.12,       82.23,       86600,      105790,      130350,      154180,      171030,       0.276
Database Architect,Mississippi(2800000),           -,           -,       38.34,       79750,         4.3,       28.90,       34.59,       34.59,       36.50,       58.14,       60120,       71950,       71950,       75920,      120930,           -
Database Architect,Missouri(2900000),        1930,        17.3,       51.23,      106560,         3.3,       26.50,       35.61,       49.43,       63.44,       77.22,       55110,       74070,      102810,      131940,      160620,       0.670
Database Architect,Montana(3000000),          50,        18.3,       56.36,      117220,         5.6,       40.86,       41.59,       54.12,       67.58,       78.14,       84990,       86510,      112580,      140560,      162520,       0.101
Database Architect,Nebraska(3100000),         700,        18.5,       62.61,      130230,         3.7,       39.71,       49.24,       62.07,       72.11,       97.08,       82590,      102430,      129110,      149990,      201930,       0.697
Database Architect,Nevada(3200000),         300,         8.1,       62.74,      130500,         5.5,       37.14,       44.63,       60.19,       75.34,      105.50,       77250,       92820,      125180,      156700,      219440,       0.202
Database Architect,New Hampshire(3300000),         250,        15.2,       59.21,      123150,         6.6,       27.97,       44.39,       59.82,       69.75,       82.20,       58190,       92330,      124430,      145080,      170980,       0.372
Database Architect,New Jersey(3400000),        1290,         5.0,       76.41,      158930,         2.1,       51.64,       64.85,       78.08,       84.89,       98.38,      107410,      134880,      162410,      176570,      204630,       0.308
Database Architect,New Mexico(3500000),         180,        22.3,       57.01,      118590,         3.3,       31.12,       46.15,       60.58,       66.00,       75.84,       64740,       95990,      126000,      137280,      157740,       0.216
Database Architect,New York(3600000),        3780,         7.1,       69.30,      144140,         1.6,       39.77,       53.28,       68.38,       83.88,       97.05,       82730,      110820,      142230,      174480,      201860,       0.403
Database Architect,North Carolina(3700000),        3330,         9.2,       58.87,      122460,         6.5,       32.83,       45.00,       60.51,       70.91,       82.35,       68290,       93600,      125860,      147500,      171280,       0.695
Database Architect,North Dakota(3800000),          60,         6.5,       51.08,      106250,         3.7,       39.28,       48.22,       49.87,       57.83,       59.60,       81700,      100300,      103730,      120290,      123960,       0.139
Database Architect,Ohio(3900000),        1880,         7.8,       58.47,      121620,         1.6,       37.90,       48.00,       61.17,       65.55,       79.07,       78830,       99850,      127230,      136350,      164470,       0.343
Database Architect,Oklahoma(4000000),         420,        12.8,       57.66,      119940,         4.9,       34.86,       40.40,       53.40,       70.61,       88.91,       72510,       84020,      111070,      146860,      184940,       0.254
Database Architect,Oregon(4100000),         540,        17.5,       63.68,      132460,         2.8,       39.61,       50.90,       64.90,       71.27,       86.80,       82390,      105880,      134980,      148240,      180530,       0.279
Database Architect,Pennsylvania(4200000),        2290,         6.7,       58.63,      121960,         2.9,       27.87,       42.21,       60.47,       73.76,       84.81,       57960,       87790,      125790,      153420,      176400,       0.386
Database Architect,Puerto Rico(7200000),         100,        26.3,       35.38,       73590,         3.2,       27.98,       29.35,       31.01,       39.79,       47.84,       58200,       61050,       64500,       82760,       99510,       0.104
Database Architect,Rhode Island(4400000),         100,        28.4,       56.98,      118510,         1.7,       44.45,       48.40,       56.24,       64.51,       72.22,       92450,      100670,      116980,      134170,      150210,       0.202
Database Architect,South Carolina(4500000),         850,        11.4,       60.74,      126340,         3.3,       27.41,       47.66,       62.51,       76.81,       85.79,       57000,       99130,      130020,      159770,      178440,       0.384
Database Architect,South Dakota(4600000),          50,        27.0,       55.87,      116210,         3.0,       45.77,       48.58,       54.53,       62.36,       63.43,       95210,      101040,      113410,      129720,      131930,       0.121
Database Architect,Tennessee(4700000),         560,        11.2,       57.47,      119530,         3.2,       33.10,       46.40,       57.69,       69.59,       78.74,       68850,       96520,      120000,      144740,      163780,       0.174
Database Architect,Texas(4800000),        5900,         9.5,       67.10,      139570,         2.2,       42.32,       54.14,       66.39,       80.48,       87.37,       88020,      112600,      138090,      167400,      181740,       0.435
Database Architect,Utah(4900000),        2090,        15.1,       69.90,      145400,         5.4,       55.94,       68.96,       71.73,       71.73,       79.05,      116340,      143430,      149200,      149200,      164430,       1.244
Database Architect,Vermont(5000000),          70,        31.7,       73.34,      152540,        11.4,       46.18,       50.74,       62.48,       91.62,       91.73,       96060,      105550,      129950,      190560,      190800,       0.230
Database Architect,Virginia(5100000),        4680,        35.4,       68.89,      143300,         8.3,       41.87,       51.83,       66.49,       80.51,       98.24,       87080,      107810,      138300,      167450,      204340,       1.177
Database Architect,Washington(5300000),        3080,        28.4,       74.25,      154430,        10.8,       48.45,       52.16,       69.67,       92.00,      103.44,      100780,      108480,      144910,      191360,      215150,       0.882
Database Architect,West Virginia(5400000),          90,        26.9,       49.78,      103550,        12.8,       26.77,       29.01,       34.74,       80.83,       85.83,       55680,       60340,       72260,      168130,      178520,       0.126
Database Architect,Wisconsin(5500000),         410,        11.0,       62.59,      130180,         1.8,       42.91,       52.92,       64.43,       69.14,       83.88,       89260,      110080,      134020,      143800,      174460,       0.143
Database Architect,Wyoming(5600000),         120,         1.3,       29.39,       61130,         0.9,       23.30,       24.92,       27.70,       30.73,       33.64,       48470,       51840,       57610,       63920,       69970,       0.426
Data Entry Keyers,Alabama(0100000),1070,8,16,32410,1,12,14,15,18,20,24560,28200,31100,37130,41600,1
Data Entry Keyers,Alaska(0200000),160,20,25,50960,8,17,22,25,30,30,34480,45390,51890,62010,63040,1
Data Entry Keyers,Arizona(0400000),3320,9,19,39360,2,14,15,18,22,24,29060,31760,37550,44840,49950,1
Data Entry Keyers,Arkansas(0500000),1430,25,17,35170,4,13,15,16,18,23,26370,31200,32410,38260,48460,1
Data Entry Keyers,California(0600000),16520,6,23,48240,1,17,19,22,26,30,35070,38690,46660,55040,63360,1
Data Entry Keyers,Colorado(0800000),1650,7,22,45730,3,17,18,21,25,29,34780,37820,43600,51490,60850,1
Data Entry Keyers,Connecticut(0900000),1210,13,21,44210,6,15,18,20,25,28,31410,37440,41740,51760,58340,1
Data Entry Keyers,Delaware(1000000),500,16,18,36400,2,14,15,17,19,20,28660,31220,35780,39110,42330,1
Data Entry Keyers,District of Columbia(1100000),860,21,24,50700,5,18,19,23,27,30,37650,40200,47100,56860,63100,1
Data Entry Keyers,Florida(1200000),12950,8,18,37700,1,14,16,18,20,23,28900,32240,36790,40680,47680,1
Data Entry Keyers,Georgia(1300000),4140,8,18,36870,3,11,14,18,21,24,23100,29620,37030,43400,50470,1
Data Entry Keyers,Guam(6600000),90,7,12,25320,1,10,10,11,14,15,20950,20950,23170,28490,31800,1
Data Entry Keyers,Hawaii(1500000),280,25,20,42600,6,15,17,21,24,26,31200,35020,43580,49270,55040,0
Data Entry Keyers,Idaho(1600000),510,21,19,39640,3,14,17,18,22,24,29010,34410,37450,45790,49040,1
Data Entry Keyers,Illinois(1700000),7780,5,19,40170,1,14,15,18,22,26,29170,31200,37190,46650,55000,1
Data Entry Keyers,Indiana(1800000),3290,9,18,37130,1,13,15,17,21,24,26860,30760,36140,42850,49620,1
Data Entry Keyers,Iowa(1900000),1050,11,19,39480,1,12,16,19,22,25,24840,32920,38680,45770,51920,1
Data Entry Keyers,Kansas(2000000),1100,16,17,36080,2,13,15,17,19,23,27820,31250,36170,39210,47400,1
Data Entry Keyers,Kentucky(2100000),2470,10,16,33820,2,11,13,17,18,22,22660,27900,34650,37660,45110,1
Data Entry Keyers,Louisiana(2200000),1270,10,18,36930,2,12,14,17,21,24,25270,29620,35900,43130,49970,1
Data Entry Keyers,Maine(2300000),240,12,21,43390,2,18,19,21,22,25,36460,38480,42710,46190,51340,0
Data Entry Keyers,Maryland(2400000),1980,12,20,42290,4,13,15,19,24,28,27560,30370,39280,50040,58910,1
Data Entry Keyers,Massachusetts(2500000),2190,12,23,48350,2,17,20,23,26,30,36050,41450,48810,53490,61370,1
Data Entry Keyers,Michigan(2600000),3070,6,19,40290,1,14,17,18,22,26,28380,34310,37830,45750,53160,1
Data Entry Keyers,Minnesota(2700000),1420,8,20,41240,2,16,17,19,22,26,32280,35070,39250,45670,54440,0
Data Entry Keyers,Mississippi(2800000),640,14,15,31900,2,11,13,15,17,19,22930,28040,31730,34500,39450,1
Data Entry Keyers,Missouri(2900000),2710,21,18,37150,4,13,15,17,19,23,27460,31280,35360,39020,48410,1
Data Entry Keyers,Montana(3000000),420,10,18,38260,3,14,16,18,21,23,29640,33530,37760,43390,48080,1
Data Entry Keyers,Nebraska(3100000),830,8,18,37980,1,14,16,18,20,23,29540,33350,38240,42580,46880,1
Data Entry Keyers,Nevada(3200000),720,24,21,42830,5,13,18,23,23,26,27910,36560,47000,47200,54790,0
Data Entry Keyers,New Hampshire(3300000),1070,8,19,39170,2,13,17,18,20,24,27820,34580,38320,42570,50590,2
Data Entry Keyers,New Jersey(3400000),4490,7,21,44040,1,15,17,20,24,29,31110,35900,42020,49830,59650,1
Data Entry Keyers,New Mexico(3500000),480,15,18,38070,4,13,15,18,21,24,27820,30590,36940,44300,50490,1
Data Entry Keyers,New York(3600000),8970,8,23,47130,2,15,18,21,27,31,31680,36900,42910,56300,63590,1
Data Entry Keyers,North Carolina(3700000),5360,5,18,36990,1,13,15,17,20,23,26780,31200,36300,41990,47840,1
Data Entry Keyers,North Dakota(3800000),70,9,19,40200,3,11,16,20,24,26,22040,33000,40810,48980,53920,0
Data Entry Keyers,Ohio(3900000),6790,7,19,38550,2,13,15,18,21,24,26900,31400,37540,43030,50870,1
Data Entry Keyers,Oklahoma(4000000),2060,13,18,36960,1,14,15,17,20,22,28160,31950,35960,41540,45610,1
Data Entry Keyers,Oregon(4100000),1560,7,21,44140,3,17,18,20,23,28,34380,37390,42380,47700,57860,1
Data Entry Keyers,Pennsylvania(4200000),6730,21,19,38590,3,14,16,18,21,23,28470,32980,37450,43980,48690,1
Data Entry Keyers,Puerto Rico(7200000),2540,6,12,24320,2,9,9,10,12,16,18290,19140,20790,25370,33780,3
Data Entry Keyers,Rhode Island(4400000),380,14,21,42900,4,15,15,20,24,28,31730,31730,42310,49590,57970,1
Data Entry Keyers,South Carolina(4500000),1620,5,18,36940,2,12,14,17,21,24,25500,29970,35430,43030,49830,1
Data Entry Keyers,South Dakota(4600000),           -,           -,16,33430,5,13,13,16,18,19,26830,28040,32690,38080,38910,           -
Data Entry Keyers,Tennessee(4700000),2680,10,19,38530,1,13,16,18,21,23,27970,33350,37520,44490,47750,1
Data Entry Keyers,Texas(4800000),23780,10,17,36100,2,13,14,17,19,23,26500,29090,35170,39860,48310,2
Data Entry Keyers,Utah(4900000),2180,6,21,44370,2,13,16,19,28,32,26450,32290,40390,57660,65750,1
Data Entry Keyers,Vermont(5000000),360,16,20,41340,4,17,18,19,21,24,35200,37500,39780,44050,50400,1
Data Entry Keyers,Virgin Islands(7800000),70,10,16,33550,1,12,14,16,18,19,25570,28950,33050,38080,39870,2
Data Entry Keyers,Virginia(5100000),3390,15,17,35100,3,12,13,16,19,23,24960,27840,32870,39580,46810,1
Data Entry Keyers,Washington(5300000),2680,7,21,44610,1,16,18,22,23,27,33290,37640,45630,47250,55520,1
Data Entry Keyers,West Virginia(5400000),830,21,17,35720,2,12,15,18,18,22,25970,30840,36790,37440,45740,1
Data Entry Keyers,Wisconsin(5500000),2810,9,18,36980,2,12,14,17,21,23,24950,29620,36310,43840,48110,1
Data Entry Keyers,Wyoming(5600000),80,15,18,38080,3,13,13,17,20,25,26300,28050,35930,42310,52110,0
Data Scientist,Alabama(0100000),        1120,        17.2,       47.61,       99040,         2.6,       26.29,       35.79,       48.35,       56.79,       69.83,       54690,       74450,      100560,      118130,      145250,       0.547
Data Scientist,Alaska(0200000),         200,        11.1,       44.09,       91710,         2.0,       24.58,       30.85,       38.46,       53.12,       68.71,       51130,       64160,       80000,      110480,      142920,       0.638
Data Scientist,Arizona(0400000),        3800,        11.1,       54.07,      112470,         2.9,       31.40,       38.47,       51.15,       64.62,       81.82,       65310,       80020,      106400,      134410,      170190,       1.216
Data Scientist,Arkansas(0500000),         330,         3.9,       56.37,      117250,         2.2,       39.84,       48.80,       55.72,       61.77,       76.78,       82870,      101510,      115890,      128490,      159700,       0.263
Data Scientist,California(0600000),       33220,         1.9,       67.54,      140490,         0.8,       32.72,       45.31,       64.27,       83.29,      102.44,       68050,       94240,      133690,      173250,      213080,       1.851
Data Scientist,Colorado(0800000),        5910,         6.6,       57.85,      120320,         4.3,       31.45,       40.54,       53.83,       65.63,       83.99,       65420,       84320,      111970,      136520,      174700,       2.088
Data Scientist,Connecticut(0900000),        1190,         6.2,       57.93,      120480,         2.2,       26.34,       36.54,       54.21,       74.49,       94.25,       54780,       76000,      112750,      154940,      196040,       0.714
Data Scientist,Delaware(1000000),         530,        21.6,       62.75,      130520,         5.5,       30.97,       48.88,       66.72,       77.27,       86.82,       64420,      101680,      138780,      160720,      180590,       1.136
Data Scientist,District of Columbia(1100000),        3100,        19.8,       61.93,      128810,        11.4,       29.46,       42.23,       58.66,       82.12,       99.19,       61280,       87840,      122010,      170800,      206320,       4.419
Data Scientist,Florida(1200000),        8400,         5.0,       51.20,      106490,         2.4,       25.09,       33.04,       45.84,       61.58,       82.90,       52180,       68730,       95360,      128090,      172440,       0.878
Data Scientist,Georgia(1300000),        6510,         4.4,       51.93,      108010,         1.4,       29.02,       36.51,       48.54,       64.39,       79.23,       60350,       75930,      100950,      133930,      164790,       1.368
Data Scientist,Hawaii(1500000),         150,        12.4,       60.61,      126080,         4.9,       31.07,       45.03,       62.47,       75.66,       96.58,       64620,       93660,      129930,      157370,      200880,       0.239
Data Scientist,Idaho(1600000),         710,        11.6,       60.67,      126190,         2.0,       35.47,       40.28,       58.79,       76.74,       98.87,       73770,       83790,      122280,      159610,      205640,       0.867
Data Scientist,Illinois(1700000),        6320,         3.5,       55.69,      115840,         0.9,       29.96,       39.42,       52.20,       66.13,       82.00,       62320,       82000,      108580,      137540,      170570,       1.052
Data Scientist,Indiana(1800000),        2440,         6.0,       44.48,       92520,         3.1,       25.24,       31.25,       39.24,       52.51,       61.70,       52500,       65000,       81620,      109220,      128340,       0.772
Data Scientist,Iowa(1900000),        2270,         2.6,       47.38,       98550,         0.9,       26.91,       34.20,       46.62,       57.72,       67.56,       55970,       71140,       96980,      120060,      140520,       1.472
Data Scientist,Kansas(2000000),           -,           -,       51.44,      107000,         9.0,       34.24,       40.00,       48.85,       61.06,       68.67,       71230,       83210,      101610,      127000,      142830,           -
Data Scientist,Kentucky(2100000),        2080,        10.0,       46.29,       96290,         3.1,       25.16,       31.53,       42.69,       58.51,       73.60,       52330,       65570,       88800,      121700,      153090,       1.058
Data Scientist,Louisiana(2200000),         920,         4.8,       35.74,       74330,         1.7,       26.27,       31.22,       33.04,       38.21,       47.57,       54640,       64950,       68730,       79480,       98940,       0.497
Data Scientist,Maine(2300000),         710,         8.7,       51.62,      107370,         3.4,       31.43,       38.49,       48.06,       66.30,       70.33,       65370,       80050,       99960,      137900,      146280,       1.150
Data Scientist,Maryland(2400000),        2170,         7.6,       60.59,      126020,         1.9,       36.62,       44.91,       60.32,       75.60,       84.13,       76170,       93410,      125460,      157260,      174990,       0.810
Data Scientist,Massachusetts(2500000),        7400,         9.9,       60.15,      125100,         3.0,       36.32,       43.09,       58.44,       70.67,       89.08,       75540,       89640,      121560,      146990,      185280,       2.031
Data Scientist,Michigan(2600000),        4700,         5.1,       46.39,       96500,         1.2,       27.79,       34.88,       43.63,       55.43,       66.76,       57790,       72550,       90750,      115280,      138860,       1.081
Data Scientist,Minnesota(2700000),        2240,         4.9,       57.10,      118760,         1.3,       33.26,       43.24,       55.11,       69.06,       79.73,       69170,       89940,      114630,      143640,      165830,       0.776
Data Scientist,Mississippi(2800000),         290,        13.4,       34.72,       72220,         4.7,       16.67,       23.21,       30.10,       39.60,       52.04,       34670,       48280,       62600,       82370,      108230,       0.253
Data Scientist,Missouri(2900000),        3850,         5.7,       42.41,       88210,         1.5,       24.37,       29.95,       39.14,       51.16,       65.24,       50690,       62290,       81410,      106410,      135710,       1.339
Data Scientist,Montana(3000000),          90,        16.5,       48.73,      101350,         7.9,       25.39,       32.94,       45.40,       50.95,       70.78,       52800,       68520,       94420,      105970,      147210,       0.182
Data Scientist,Nebraska(3100000),        1780,         5.9,       45.66,       94960,         0.9,       30.26,       38.22,       44.54,       51.66,       62.31,       62940,       79500,       92640,      107450,      129610,       1.775
Data Scientist,Nevada(3200000),         980,         8.7,       46.54,       96800,         3.5,       27.71,       34.34,       41.36,       54.07,       69.43,       57630,       71420,       86030,      112460,      144420,       0.662
Data Scientist,New Hampshire(3300000),         780,        16.1,       46.79,       97330,         6.0,       26.17,       31.15,       44.55,       59.03,       73.76,       54420,       64790,       92670,      122780,      153410,       1.151
Data Scientist,New Jersey(3400000),        4340,         9.1,       64.49,      134140,         2.5,       35.13,       46.21,       62.77,       80.01,       95.34,       73070,       96120,      130570,      166410,      198310,       1.032
Data Scientist,New Mexico(3500000),         380,        19.8,       42.65,       88720,         5.7,       24.82,       30.59,       41.84,       48.56,       60.62,       51620,       63620,       87020,      101000,      126090,       0.449
Data Scientist,New York(3600000),       16390,         2.7,       64.82,      134830,         1.1,       32.15,       41.77,       61.96,       82.68,      102.09,       66870,       86890,      128890,      171970,      212360,       1.745
Data Scientist,North Carolina(3700000),        6640,         5.0,       60.55,      125950,         1.5,       31.84,       45.54,       61.03,       74.74,       86.64,       66220,       94720,      126940,      155460,      180220,       1.385
Data Scientist,North Dakota(3800000),         240,        25.0,       49.24,      102410,         5.4,       28.51,       38.71,       54.63,       57.69,       60.81,       59300,       80510,      113620,      120000,      126480,       0.567
Data Scientist,Ohio(3900000),        4660,         4.5,       46.89,       97530,         0.9,       25.36,       33.07,       46.67,       59.46,       68.27,       52740,       68790,       97070,      123690,      141990,       0.852
Data Scientist,Oklahoma(4000000),        2130,         7.5,       44.72,       93020,         3.2,       25.33,       32.53,       40.29,       56.07,       72.23,       52690,       67660,       83810,      116620,      150230,       1.281
Data Scientist,Oregon(4100000),        2640,         5.7,       59.85,      124480,         2.3,       31.18,       40.13,       55.24,       75.42,       88.51,       64850,       83460,      114910,      156870,      184090,       1.360
Data Scientist,Pennsylvania(4200000),        7490,        10.6,       49.22,      102370,         2.7,       25.38,       33.72,       46.76,       61.27,       77.05,       52780,       70150,       97260,      127440,      160270,       1.259
Data Scientist,Puerto Rico(7200000),          90,        16.3,       34.65,       72070,         3.3,       20.35,       27.93,       36.48,       39.76,       40.41,       42330,       58100,       75880,       82710,       84040,       0.097
Data Scientist,Rhode Island(4400000),         900,        13.7,       61.24,      127380,         4.3,       36.33,       46.75,       61.71,       74.67,       85.01,       75570,       97250,      128350,      155310,      176820,       1.848
Data Scientist,South Carolina(4500000),        2090,        11.0,       48.46,      100790,         1.3,       29.14,       35.82,       45.82,       57.45,       73.48,       60600,       74510,       95310,      119500,      152830,       0.942
Data Scientist,South Dakota(4600000),         150,        12.6,       47.09,       97940,         3.0,       30.85,       40.35,       43.97,       54.82,       64.41,       64160,       83930,       91460,      114030,      133970,       0.328
Data Scientist,Tennessee(4700000),        2090,        26.0,       46.97,       97710,         8.5,       17.08,       28.99,       44.42,       60.09,       71.44,       35520,       60300,       92400,      124990,      148580,       0.648
Data Scientist,Texas(4800000),       20560,         5.0,       52.40,      109000,         1.2,       24.79,       36.57,       48.12,       65.05,       80.36,       51550,       76060,      100100,      135310,      167160,       1.517
Data Scientist,Utah(4900000),        3530,         7.1,       48.93,      101780,         2.9,       24.87,       33.26,       46.87,       61.35,       79.13,       51740,       69180,       97490,      127600,      164580,       2.105
Data Scientist,Vermont(5000000),         220,        18.7,       59.82,      124430,         8.4,       36.00,       38.51,       56.49,       71.65,       96.73,       74890,       80100,      117500,      149030,      201190,       0.735
Data Scientist,Virginia(5100000),        4810,         4.6,       66.87,      139080,         1.3,       36.05,       48.40,       65.62,       85.32,      101.56,       74980,      100680,      136490,      177460,      211250,       1.209
Data Scientist,Washington(5300000),        5640,         5.3,       71.50,      148730,         1.3,       36.99,       47.40,       63.76,       84.65,      108.62,       76940,       98590,      132620,      176080,      225920,       1.613
Data Scientist,West Virginia(5400000),         180,        24.3,       45.35,       94330,        10.6,       21.64,       22.08,       32.53,       47.86,       89.03,       45020,       45930,       67660,       99560,      185190,       0.266
Data Scientist,Wisconsin(5500000),        3090,         5.7,       50.60,      105250,         1.4,       32.47,       39.56,       48.96,       60.12,       67.78,       67540,       82280,      101850,      125050,      140980,       1.070
Data Scientist,Wyoming(5600000),           -,           -,       60.25,      125330,        15.8,       34.64,       54.64,       62.68,       72.55,       73.02,       72050,      113640,      130370,      150900,      151880,           -
Management Analyst,Alabama(0100000),        5830,         4.9,       54.03,      112390,         4.6,       28.58,       36.79,       47.55,       62.27,       89.09,       59450,       76520,       98900,      129520,      185310,       2.842
Management Analyst,Alaska(0200000),         380,         6.8,       50.71,      105470,         1.2,       33.01,       41.19,       48.68,       58.71,       67.32,       68660,       85680,      101250,      122120,      140030,       1.207
Management Analyst,Arizona(0400000),       16600,         4.7,       47.11,       97980,         2.1,       23.50,       30.59,       39.86,       57.78,       71.86,       48880,       63620,       82900,      120180,      149480,       5.304
Management Analyst,Arkansas(0500000),        5410,         6.0,       37.11,       77180,         6.9,       15.20,       18.35,       29.29,       46.45,       61.07,       31610,       38170,       60920,       96620,      127030,       4.254
Management Analyst,California(0600000),      110430,         3.8,       57.39,      119370,         1.7,       28.87,       36.91,       47.98,       65.00,       92.09,       60060,       76770,       99800,      135200,      191540,       6.153
Management Analyst,Colorado(0800000),       13130,        10.6,       50.80,      105670,         3.2,       26.05,       35.73,       45.55,       60.25,       80.25,       54180,       74310,       94750,      125320,      166920,       4.638
Management Analyst,Connecticut(0900000),        9570,         5.2,       55.54,      115530,         2.3,       30.97,       39.21,       49.50,       64.80,       84.21,       64420,       81560,      102960,      134780,      175150,       5.767
Management Analyst,Delaware(1000000),        4440,         4.4,       48.80,      101500,         2.0,       25.66,       29.29,       41.61,       57.15,       66.23,       53380,       60930,       86560,      118870,      137750,       9.465
Management Analyst,District of Columbia(1100000),       18570,         3.7,       57.92,      120480,         1.1,       37.78,       46.79,       57.44,       66.41,       79.80,       78580,       97320,      119480,      138130,      165980,      26.464
Management Analyst,Florida(1200000),       68540,         3.4,       46.11,       95920,         2.1,       20.09,       28.37,       39.61,       56.44,       77.72,       41790,       59010,       82390,      117380,      161650,       7.163
Management Analyst,Georgia(1300000),       34060,         4.5,       53.00,      110250,         2.3,       25.12,       35.70,       48.81,       63.90,       82.40,       52250,       74260,      101530,      132910,      171390,       7.158
Management Analyst,Guam(6600000),           -,           -,       35.00,       72800,         2.4,       21.64,       26.90,       31.92,       41.14,       49.11,       45010,       55950,       66390,       85570,      102150,           -
Management Analyst,Hawaii(1500000),        2610,         5.2,       43.88,       91270,         1.7,       29.17,       33.08,       40.28,       51.87,       63.93,       60660,       68800,       83780,      107890,      132970,       4.227
Management Analyst,Idaho(1600000),        2820,        10.2,       42.33,       88050,         6.7,       22.07,       27.27,       35.96,       50.87,       66.04,       45910,       56720,       74790,      105800,      137360,       3.431
Management Analyst,Illinois(1700000),       44210,         5.7,       58.32,      121310,         2.7,       30.24,       38.24,       50.29,       68.97,       89.89,       62900,       79540,      104610,      143450,      186970,       7.354
Management Analyst,Indiana(1800000),       12140,         4.5,       45.56,       94760,         2.1,       24.14,       30.21,       40.17,       53.21,       71.56,       50210,       62830,       83560,      110680,      148830,       3.847
